time	cp0	cai0	J_uni0	jNCX_m0	ca_mito0	psi_mito0	atp0	adp0	prod0	consum0	diff0
0	0.100545	0.0999926	0.000379177	0.00015079	0.05	180	5000	50	0.00738128	0.00333333	0
1	0.118559	0.0992744	0.0004415	0.000152019	0.0500027	180.043	5000	49.9999	0.00738722	0.00333334	-0.00145098
2	0.120399	0.0985905	0.000447921	0.000153212	0.0500056	180.085	5000.01	49.9999	0.00739307	0.00333334	-0.00237439
3	0.120747	0.0979366	0.000449225	0.000154373	0.0500086	180.127	5000.01	49.9998	0.00739881	0.00333334	-0.00298678
4	0.120536	0.0973094	0.000448614	0.000155504	0.0500115	180.167	5000.01	49.9998	0.00740445	0.00333335	-0.00340852
5	0.120124	0.0967064	0.000447308	0.000156608	0.0500145	180.207	5000.01	49.9998	0.00740998	0.00333335	-0.00370928
6	0.120107	0.0961259	0.000447357	0.000157687	0.0500174	180.246	5000.01	49.9998	0.00741541	0.00333335	-0.00393079
7	0.119764	0.0955662	0.000446283	0.000158743	0.0500202	180.284	5000.01	49.9998	0.00742074	0.00333335	-0.0040989
8	0.119412	0.0950261	0.000445174	0.000159775	0.0500231	180.322	5000.01	49.9998	0.00742596	0.00333335	-0.00423007
9	0.118927	0.0945043	0.000443609	0.000160786	0.0500259	180.359	5000.01	49.9998	0.00743109	0.00333335	-0.00433504
10	0.118357	0.0939997	0.000441745	0.000161777	0.0500288	180.395	5000.01	49.9998	0.00743612	0.00333335	-0.004421
11	0.11807	0.0935115	0.000440852	0.000162747	0.0500315	180.431	5000.01	49.9998	0.00744106	0.00333335	-0.00449286
12	0.120161	0.0930424	0.000448135	0.000163692	0.0500344	180.465	5000.01	49.9998	0.0074459	0.00333334	-0.00455411
13	0.120037	0.0925897	0.000447801	0.000164616	0.0500372	180.5	5000.01	49.9998	0.00745065	0.00333334	-0.00460717
14	0.118696	0.0921492	0.000443281	0.000165525	0.05004	180.533	5000.01	49.9998	0.00745531	0.00333334	-0.00465374
15	0.117449	0.0917201	0.000439073	0.00016642	0.0500428	180.566	5000.01	49.9999	0.00745987	0.00333334	-0.00469509
16	0.116513	0.0913021	0.000435934	0.0001673	0.0500455	180.598	5000.01	49.9999	0.00746436	0.00333334	-0.0047322
17	0.115857	0.0908953	0.000433755	0.000168166	0.0500481	180.63	5000	49.9999	0.00746876	0.00333334	-0.00476582
18	0.115372	0.0904993	0.00043216	0.000169017	0.0500508	180.661	5000	49.9999	0.00747307	0.00333334	-0.00479654
19	0.115211	0.090114	0.000431682	0.000169854	0.0500534	180.691	5000	49.9999	0.0074773	0.00333334	-0.00482482
20	0.115049	0.0897389	0.000431201	0.000170677	0.050056	180.721	5000	49.9999	0.00748145	0.00333334	-0.00485103
21	0.114926	0.0893739	0.000430851	0.000171485	0.0500586	180.751	5000	50	0.00748553	0.00333334	-0.00487546
22	2.14256	0.0890217	0.006196	0.000172357	0.0500748	180.778	5000	50	0.00748931	0.00333333	-0.00489837
23	0.150872	0.0887393	0.000553783	0.000173054	0.0500838	180.805	5000	50	0.00749314	0.00333333	-0.00491988
24	0.128869	0.0884274	0.000479055	0.000173777	0.0500872	180.833	5000	50	0.00749697	0.00333333	-0.00494025
25	0.121244	0.0881082	0.000452952	0.000174514	0.0500901	180.86	5000	50	0.00750074	0.00333333	-0.00495961
26	0.1181	0.0877911	0.000442189	0.00017525	0.0500928	180.887	5000	50.0001	0.00750445	0.00333333	-0.00497807
27	0.116469	0.087479	0.000436626	0.00017598	0.0500954	180.913	5000	50.0001	0.00750808	0.00333333	-0.00499573
28	0.115557	0.087173	0.000433538	0.0001767	0.050098	180.938	5000	50.0001	0.00751164	0.00333333	-0.00501268
29	0.115038	0.0868736	0.000431809	0.00017741	0.0501006	180.964	5000	50.0001	0.00751514	0.00333333	-0.00502897
30	0.114749	0.0865809	0.000430873	0.00017811	0.0501031	180.988	4999.99	50.0001	0.00751857	0.00333332	-0.00504466
31	0.114594	0.0862949	0.000430398	0.000178798	0.0501056	181.013	4999.99	50.0002	0.00752193	0.00333332	-0.00505982
32	0.114542	0.0860157	0.000430282	0.000179476	0.0501081	181.036	4999.99	50.0002	0.00752523	0.00333332	-0.00507449
33	0.114568	0.0857429	0.000430432	0.000180143	0.0501106	181.06	4999.99	50.0002	0.00752847	0.00333332	-0.00508869
34	0.114856	0.0854764	0.000431491	0.0001808	0.0501132	181.082	4999.99	50.0002	0.00753164	0.00333332	-0.00510248
35	0.115059	0.0852162	0.000432251	0.000181445	0.0501157	181.105	4999.99	50.0002	0.00753476	0.00333332	-0.00511587
36	0.115271	0.084962	0.000433045	0.000182081	0.0501182	181.127	4999.99	50.0003	0.00753781	0.00333332	-0.00512889
37	0.115963	0.0847143	0.000435496	0.000182705	0.0501207	181.148	4999.99	50.0003	0.00754081	0.00333332	-0.00514157
38	0.116234	0.0844724	0.000436491	0.000183318	0.0501232	181.17	4999.99	50.0003	0.00754375	0.00333331	-0.00515393
39	0.11637	0.0842358	0.000437017	0.000183923	0.0501258	181.19	4999.99	50.0003	0.00754663	0.00333331	-0.00516597
40	0.116859	0.0840043	0.000438764	0.000184518	0.0501283	181.211	4999.99	50.0004	0.00754946	0.00333331	-0.00517773
41	0.117162	0.0837779	0.000439866	0.000185104	0.0501308	181.231	4999.98	50.0004	0.00755223	0.00333331	-0.0051892
42	0.117737	0.0835564	0.00044191	0.000185681	0.0501334	181.25	4999.98	50.0004	0.00755496	0.00333331	-0.00520041
43	0.118111	0.0833398	0.000443254	0.000186249	0.050136	181.27	4999.98	50.0004	0.00755762	0.00333331	-0.00521137
44	0.118488	0.083128	0.000444609	0.000186808	0.0501385	181.288	4999.98	50.0005	0.00756024	0.0033333	-0.00522209
45	0.118885	0.0829209	0.000446033	0.000187358	0.0501411	181.307	4999.98	50.0005	0.00756281	0.0033333	-0.00523257
46	0.119272	0.0827182	0.000447419	0.000187899	0.0501437	181.325	4999.98	50.0005	0.00756533	0.0033333	-0.00524282
47	0.119646	0.0825199	0.000448763	0.000188432	0.0501463	181.343	4999.98	50.0005	0.0075678	0.0033333	-0.00525286
48	0.120145	0.0823259	0.000450537	0.000188957	0.0501489	181.36	4999.98	50.0006	0.00757023	0.0033333	-0.00526269
49	0.120909	0.0821361	0.000453224	0.000189473	0.0501515	181.377	4999.98	50.0006	0.0075726	0.0033333	-0.00527231
50	0.12146	0.0819504	0.000455175	0.000189982	0.0501542	181.394	4999.98	50.0006	0.00757494	0.0033333	-0.00528173
51	0.122038	0.0817687	0.000457218	0.000190482	0.0501568	181.411	4999.97	50.0006	0.00757722	0.00333329	-0.00529097
52	0.12282	0.0815909	0.000459961	0.000190974	0.0501595	181.427	4999.97	50.0007	0.00757947	0.00333329	-0.00530001
53	0.123848	0.0814169	0.000463556	0.000191459	0.0501622	181.443	4999.97	50.0007	0.00758167	0.00333329	-0.00530888
54	0.12457	0.0812467	0.000466088	0.000191936	0.050165	181.458	4999.97	50.0007	0.00758383	0.00333329	-0.00531756
55	0.125543	0.0810803	0.000469488	0.000192405	0.0501677	181.473	4999.97	50.0007	0.00758595	0.00333329	-0.00532608
56	0.126574	0.0809175	0.000473086	0.000192866	0.0501705	181.488	4999.97	50.0008	0.00758802	0.00333329	-0.00533443
57	0.127432	0.0807582	0.000476081	0.000193321	0.0501733	181.503	4999.97	50.0008	0.00759006	0.00333328	-0.00534261
58	0.128271	0.0806024	0.000479014	0.000193767	0.0501762	181.517	4999.97	50.0008	0.00759206	0.00333328	-0.00535064
59	0.12917	0.0804499	0.000482149	0.000194207	0.050179	181.531	4999.97	50.0009	0.00759402	0.00333328	-0.0053585
60	0.562361	0.0805477	0.00185678	0.000194065	0.0501852	181.545	4999.96	50.0009	0.00759589	0.00333328	-0.00536622
61	0.52251	0.0810243	0.00173665	0.000193092	0.0502024	181.557	4999.96	50.0009	0.00759756	0.00333328	-0.00537375
62	0.388611	0.0812697	0.00132548	0.000192643	0.0502148	181.569	4999.96	50.0009	0.00759927	0.00333327	-0.00538111
63	0.258322	0.0813974	0.0009121	0.000192458	0.0502248	181.582	4999.96	50.001	0.00760099	0.00333327	-0.00538832
64	0.192889	0.0813518	0.00069764	0.000192653	0.0502306	181.594	4999.96	50.001	0.00760274	0.00333327	-0.0053954
