time	avg_ATP	avg_ADP	avg_ca_mito	avg_psi_mito	avg_cai	avg_cp_prod
0	5000	50	0.05	180	0.0999926	nan
1	5000	50	0.050004	180.043	0.0992775	nan
2	5000	50.0001	0.0500091	180.085	0.0986086	nan
3	5000	50.0001	0.0500148	180.126	0.0979766	nan
4	4999.99	50.0001	0.0500188	180.167	0.0973644	nan
5	4999.99	50.0002	0.0500235	180.206	0.0967778	nan
6	4999.99	50.0002	0.0500296	180.245	0.096246	nan
7	4999.99	50.0003	0.0500346	180.283	0.0957245	nan
8	4999.99	50.0003	0.0500394	180.321	0.0952082	nan
9	4999.99	50.0003	0.0500441	180.357	0.094694	nan
10	4999.99	50.0004	0.05005	180.393	0.0942026	nan
11	4999.98	50.0004	0.0500571	180.428	0.0937338	nan
12	4999.98	50.0004	0.0500628	180.463	0.0932728	nan
13	4999.98	50.0005	0.0500677	180.497	0.0928176	nan
14	4999.98	50.0005	0.0500725	180.53	0.0923785	nan
15	4999.98	50.0006	0.0500779	180.563	0.0919564	nan
16	4999.98	50.0006	0.0500848	180.595	0.091559	nan
17	4999.97	50.0006	0.0500903	180.626	0.0911777	nan
18	4999.97	50.0007	0.0500936	180.657	0.0907939	nan
19	4999.97	50.0007	0.0500974	180.688	0.0904293	nan
20	4999.97	50.0007	0.0501011	180.717	0.0900717	nan
21	4999.97	50.0008	0.0501044	180.747	0.089722	nan
22	4999.97	50.0008	0.0501102	180.775	0.0893807	nan
23	4999.97	50.0008	0.0501173	180.803	0.0890665	nan
24	4999.96	50.0009	0.0501216	180.831	0.0887607	nan
25	4999.96	50.0009	0.0501253	180.858	0.0884502	nan
26	4999.96	50.001	0.0501287	180.884	0.0881442	nan
27	4999.96	50.001	0.0501317	180.91	0.087833	nan
28	4999.96	50.001	0.0501346	180.936	0.0875311	nan
29	4999.96	50.0011	0.0501376	180.961	0.0872317	nan
30	4999.96	50.0011	0.0501412	180.986	0.0869367	nan
31	4999.95	50.0011	0.0501452	181.01	0.0866481	nan
32	4999.95	50.0012	0.0501492	181.034	0.0863712	nan
33	4999.95	50.0012	0.0501533	181.057	0.0861053	nan
34	4999.95	50.0012	0.0501589	181.079	0.0858701	nan
35	4999.95	50.0013	0.0501645	181.101	0.0856382	nan
36	4999.95	50.0013	0.0501691	181.123	0.0853932	nan
37	4999.95	50.0014	0.0501731	181.145	0.085163	nan
38	4999.94	50.0014	0.0501764	181.166	0.0849389	nan
39	4999.94	50.0014	0.0501801	181.187	0.0847282	nan
40	4999.94	50.0015	0.0501853	181.207	0.0845374	nan
41	4999.94	50.0015	0.0501907	181.227	0.0843403	nan
42	4999.94	50.0015	0.0501976	181.246	0.0841601	nan
43	4999.94	50.0016	0.0502052	181.265	0.0839753	nan
44	4999.94	50.0016	0.0502144	181.283	0.0837974	nan
45	4999.93	50.0016	0.0502229	181.301	0.0836176	nan
46	4999.93	50.0017	0.0502318	181.318	0.0834386	nan
47	4999.93	50.0017	0.0502406	181.336	0.0832557	nan
48	4999.93	50.0018	0.0502459	181.353	0.0830856	nan
49	4999.93	50.0018	0.0502532	181.37	0.0829394	nan
50	4999.93	50.0018	0.0502598	181.386	0.082795	nan
51	4999.93	50.0019	0.0502711	181.402	0.0826612	nan
52	4999.92	50.0019	0.0502871	181.417	0.0825494	nan
